bash-4.4# time kafka-producer-perf-test.sh --topic testes-de-performance --num-records 10000000 --throughput -1 --record-size 1000 --producer.config opt/kafka/config/producer.prope
rties
70401 records sent, 13844.8 records/sec (13.20 MB/sec), 1226.0 ms avg latency, 2978.0 ms max latency.
116512 records sent, 23186.5 records/sec (22.11 MB/sec), 1509.6 ms avg latency, 9143.0 ms max latency.
10000000 records sent, 22605.357922 records/sec (21.56 MB/sec), 1442.53 ms avg latency, 11266.00 ms max latency, 562 ms 50th, 5489 ms 95th, 7793 ms 99th, 9417 ms 99.9th.

real    7m24.151s
user    0m46.033s
sys     0m40.084s



bash-4.4# time kafka-producer-perf-test.sh --topic testes-de-performance --num-records 10000000 --throughput -1 --record-size 1000 --producer.config opt/kafka/config/producer.properties
58017 records sent, 11596.4 records/sec (11.06 MB/sec), 1287.6 ms avg latency, 2820.0 ms max latency.
90912 records sent, 18175.1 records/sec (17.33 MB/sec), 1651.2 ms avg latency, 5196.0 ms max latency.
100048 records sent, 19929.9 records/sec (19.01 MB/sec), 1460.9 ms avg latency, 6813.0 ms max latency.
105772 records sent, 21099.5 records/sec (20.12 MB/sec), 1500.3 ms avg latency, 7424.0 ms max latency.
118891 records sent, 23778.2 records/sec (22.68 MB/sec), 1429.5 ms avg latency, 7219.0 ms max latency.
97845 records sent, 19487.2 records/sec (18.58 MB/sec), 1434.3 ms avg latency, 7807.0 ms max latency.
98096 records sent, 19615.3 records/sec (18.71 MB/sec), 1833.6 ms avg latency, 7979.0 ms max latency.
101440 records sent, 20127.0 records/sec (19.19 MB/sec), 1674.4 ms avg latency, 8260.0 ms max latency.
111792 records sent, 22256.0 records/sec (21.22 MB/sec), 1600.7 ms avg latency, 8337.0 ms max latency.
92944 records sent, 18459.6 records/sec (17.60 MB/sec), 1620.7 ms avg latency, 8274.0 ms max latency.
97936 records sent, 19431.7 records/sec (18.53 MB/sec), 1778.8 ms avg latency, 8793.0 ms max latency.
115824 records sent, 22899.2 records/sec (21.84 MB/sec), 1598.1 ms avg latency, 9060.0 ms max latency.
121968 records sent, 24369.2 records/sec (23.24 MB/sec), 1332.3 ms avg latency, 7832.0 ms max latency.
108944 records sent, 21736.6 records/sec (20.73 MB/sec), 1504.2 ms avg latency, 7523.0 ms max latency.
107744 records sent, 21548.8 records/sec (20.55 MB/sec), 1575.5 ms avg latency, 7911.0 ms max latency.
126240 records sent, 25132.4 records/sec (23.97 MB/sec), 1256.6 ms avg latency, 7556.0 ms max latency.
118733 records sent, 23746.6 records/sec (22.65 MB/sec), 1299.4 ms avg latency, 5835.0 ms max latency.
111360 records sent, 22187.7 records/sec (21.16 MB/sec), 1473.7 ms avg latency, 6426.0 ms max latency.
128816 records sent, 25538.5 records/sec (24.36 MB/sec), 1337.3 ms avg latency, 6788.0 ms max latency.
105056 records sent, 20890.0 records/sec (19.92 MB/sec), 1345.3 ms avg latency, 6450.0 ms max latency.
118896 records sent, 23623.3 records/sec (22.53 MB/sec), 1579.4 ms avg latency, 6939.0 ms max latency.
128835 records sent, 25055.4 records/sec (23.89 MB/sec), 1289.4 ms avg latency, 5993.0 ms max latency.
115408 records sent, 23021.7 records/sec (21.96 MB/sec), 1416.8 ms avg latency, 6585.0 ms max latency.
104592 records sent, 20818.5 records/sec (19.85 MB/sec), 1521.6 ms avg latency, 6719.0 ms max latency.
116992 records sent, 23295.9 records/sec (22.22 MB/sec), 1488.3 ms avg latency, 7040.0 ms max latency.
121024 records sent, 24185.5 records/sec (23.07 MB/sec), 1267.9 ms avg latency, 6865.0 ms max latency.
105680 records sent, 21077.0 records/sec (20.10 MB/sec), 1555.4 ms avg latency, 8049.0 ms max latency.
115600 records sent, 22941.1 records/sec (21.88 MB/sec), 1421.0 ms avg latency, 8248.0 ms max latency.
108368 records sent, 21557.2 records/sec (20.56 MB/sec), 1506.4 ms avg latency, 9202.0 ms max latency.
124656 records sent, 24891.4 records/sec (23.74 MB/sec), 1377.0 ms avg latency, 9461.0 ms max latency.
116752 records sent, 23331.7 records/sec (22.25 MB/sec), 1357.9 ms avg latency, 9134.0 ms max latency.
108768 records sent, 21111.8 records/sec (20.13 MB/sec), 1404.3 ms avg latency, 8762.0 ms max latency.
74496 records sent, 14854.6 records/sec (14.17 MB/sec), 1727.0 ms avg latency, 11257.0 ms max latency.
122912 records sent, 24557.8 records/sec (23.42 MB/sec), 1771.3 ms avg latency, 11415.0 ms max latency.
125216 records sent, 24993.2 records/sec (23.84 MB/sec), 1267.2 ms avg latency, 10627.0 ms max latency.
112544 records sent, 22490.8 records/sec (21.45 MB/sec), 1408.3 ms avg latency, 8763.0 ms max latency.
114837 records sent, 22912.4 records/sec (21.85 MB/sec), 1496.6 ms avg latency, 9306.0 ms max latency.
125360 records sent, 24902.7 records/sec (23.75 MB/sec), 1337.2 ms avg latency, 8965.0 ms max latency.
98032 records sent, 19505.0 records/sec (18.60 MB/sec), 1532.3 ms avg latency, 9284.0 ms max latency.
97888 records sent, 19554.1 records/sec (18.65 MB/sec), 1653.2 ms avg latency, 10660.0 ms max latency.
128064 records sent, 25612.8 records/sec (24.43 MB/sec), 1448.8 ms avg latency, 10719.0 ms max latency.
117168 records sent, 23424.2 records/sec (22.34 MB/sec), 1411.9 ms avg latency, 9822.0 ms max latency.
107151 records sent, 21391.7 records/sec (20.40 MB/sec), 1477.6 ms avg latency, 8437.0 ms max latency.
111904 records sent, 22327.2 records/sec (21.29 MB/sec), 1474.7 ms avg latency, 8459.0 ms max latency.
110225 records sent, 22014.2 records/sec (20.99 MB/sec), 1510.8 ms avg latency, 8836.0 ms max latency.
122313 records sent, 24462.6 records/sec (23.33 MB/sec), 1410.8 ms avg latency, 8633.0 ms max latency.
125584 records sent, 25071.7 records/sec (23.91 MB/sec), 1247.3 ms avg latency, 8269.0 ms max latency.
108976 records sent, 21717.0 records/sec (20.71 MB/sec), 1460.3 ms avg latency, 9122.0 ms max latency.
134000 records sent, 26693.2 records/sec (25.46 MB/sec), 1367.0 ms avg latency, 9346.0 ms max latency.
107360 records sent, 21459.1 records/sec (20.47 MB/sec), 1380.3 ms avg latency, 9778.0 ms max latency.
119424 records sent, 23732.9 records/sec (22.63 MB/sec), 1496.7 ms avg latency, 9988.0 ms max latency.
118592 records sent, 23600.4 records/sec (22.51 MB/sec), 1335.2 ms avg latency, 9955.0 ms max latency.
112816 records sent, 22477.8 records/sec (21.44 MB/sec), 1437.5 ms avg latency, 9714.0 ms max latency.
125120 records sent, 25024.0 records/sec (23.86 MB/sec), 1326.6 ms avg latency, 9861.0 ms max latency.
125664 records sent, 25112.7 records/sec (23.95 MB/sec), 1355.9 ms avg latency, 10029.0 ms max latency.
105056 records sent, 20998.6 records/sec (20.03 MB/sec), 1420.2 ms avg latency, 10024.0 ms max latency.
112608 records sent, 22521.6 records/sec (21.48 MB/sec), 1554.3 ms avg latency, 10783.0 ms max latency.
127440 records sent, 25391.5 records/sec (24.22 MB/sec), 1298.7 ms avg latency, 10915.0 ms max latency.
116864 records sent, 23219.6 records/sec (22.14 MB/sec), 1404.4 ms avg latency, 9795.0 ms max latency.
111776 records sent, 22283.9 records/sec (21.25 MB/sec), 1412.0 ms avg latency, 10786.0 ms max latency.
127232 records sent, 25426.1 records/sec (24.25 MB/sec), 1388.0 ms avg latency, 10989.0 ms max latency.
112904 records sent, 22490.8 records/sec (21.45 MB/sec), 1348.6 ms avg latency, 10606.0 ms max latency.
102512 records sent, 20469.6 records/sec (19.52 MB/sec), 1556.3 ms avg latency, 10293.0 ms max latency.
127520 records sent, 25478.5 records/sec (24.30 MB/sec), 1361.6 ms avg latency, 11196.0 ms max latency.
108064 records sent, 21526.7 records/sec (20.53 MB/sec), 1461.9 ms avg latency, 11226.0 ms max latency.
127584 records sent, 25430.3 records/sec (24.25 MB/sec), 1356.3 ms avg latency, 10165.0 ms max latency.
122144 records sent, 24244.5 records/sec (23.12 MB/sec), 1250.2 ms avg latency, 10378.0 ms max latency.
109376 records sent, 21870.8 records/sec (20.86 MB/sec), 1534.1 ms avg latency, 10140.0 ms max latency.
114640 records sent, 22895.9 records/sec (21.84 MB/sec), 1381.0 ms avg latency, 10143.0 ms max latency.
120352 records sent, 23832.1 records/sec (22.73 MB/sec), 1379.3 ms avg latency, 10486.0 ms max latency.
109168 records sent, 21699.1 records/sec (20.69 MB/sec), 1443.0 ms avg latency, 11224.0 ms max latency.
131808 records sent, 26330.0 records/sec (25.11 MB/sec), 1396.0 ms avg latency, 10730.0 ms max latency.
111296 records sent, 22108.9 records/sec (21.08 MB/sec), 1326.6 ms avg latency, 11087.0 ms max latency.
125056 records sent, 24961.3 records/sec (23.80 MB/sec), 1446.2 ms avg latency, 11506.0 ms max latency.
112048 records sent, 22409.6 records/sec (21.37 MB/sec), 1363.4 ms avg latency, 11771.0 ms max latency.
111184 records sent, 22029.7 records/sec (21.01 MB/sec), 1569.1 ms avg latency, 11734.0 ms max latency.
108768 records sent, 21731.9 records/sec (20.73 MB/sec), 1371.7 ms avg latency, 12113.0 ms max latency.
110624 records sent, 22124.8 records/sec (21.10 MB/sec), 1588.2 ms avg latency, 12140.0 ms max latency.
133707 records sent, 26720.0 records/sec (25.48 MB/sec), 1314.0 ms avg latency, 10606.0 ms max latency.
116316 records sent, 23253.9 records/sec (22.18 MB/sec), 1399.7 ms avg latency, 10493.0 ms max latency.
95472 records sent, 19071.5 records/sec (18.19 MB/sec), 1472.6 ms avg latency, 11326.0 ms max latency.
113760 records sent, 22625.3 records/sec (21.58 MB/sec), 1580.2 ms avg latency, 11638.0 ms max latency.
135472 records sent, 27072.7 records/sec (25.82 MB/sec), 1301.7 ms avg latency, 11580.0 ms max latency.
109296 records sent, 21859.2 records/sec (20.85 MB/sec), 1346.8 ms avg latency, 11060.0 ms max latency.
105696 records sent, 21113.9 records/sec (20.14 MB/sec), 1615.3 ms avg latency, 10883.0 ms max latency.
120016 records sent, 23998.4 records/sec (22.89 MB/sec), 1419.1 ms avg latency, 11379.0 ms max latency.
115488 records sent, 23088.4 records/sec (22.02 MB/sec), 1396.3 ms avg latency, 11038.0 ms max latency.
127623 records sent, 25509.3 records/sec (24.33 MB/sec), 1554.3 ms avg latency, 9772.0 ms max latency.
10000000 records sent, 22550.761765 records/sec (21.51 MB/sec), 1444.57 ms avg latency, 12140.00 ms max latency, 438 ms 50th, 5960 ms 95th, 8685 ms 99th, 10954 ms 99.9th.

real    7m30.655s
user    0m45.338s
sys     0m40.189s



ash-4.4# time kafka-producer-perf-test.sh --topic testes-de-performance --num-records 10000000 --throughput -1 --record-size 1000 --producer.config opt/kafka/config/producer.properties
68431 records sent, 13612.7 records/sec (12.98 MB/sec), 1279.6 ms avg latency, 2783.0 ms max latency.
89410 records sent, 17849.9 records/sec (17.02 MB/sec), 1688.7 ms avg latency, 4375.0 ms max latency.
109952 records sent, 21977.2 records/sec (20.96 MB/sec), 1497.3 ms avg latency, 5160.0 ms max latency.
106800 records sent, 21360.0 records/sec (20.37 MB/sec), 1388.2 ms avg latency, 5886.0 ms max latency.
102160 records sent, 20432.0 records/sec (19.49 MB/sec), 1489.2 ms avg latency, 7391.0 ms max latency.
111056 records sent, 22211.2 records/sec (21.18 MB/sec), 1437.5 ms avg latency, 7744.0 ms max latency.
110897 records sent, 22144.0 records/sec (21.12 MB/sec), 1419.3 ms avg latency, 8111.0 ms max latency.
88688 records sent, 17730.5 records/sec (16.91 MB/sec), 1753.1 ms avg latency, 8918.0 ms max latency.
110576 records sent, 21992.0 records/sec (20.97 MB/sec), 1639.5 ms avg latency, 9576.0 ms max latency.
102787 records sent, 20479.6 records/sec (19.53 MB/sec), 1523.2 ms avg latency, 9209.0 ms max latency.
98471 records sent, 19635.3 records/sec (18.73 MB/sec), 1658.0 ms avg latency, 9294.0 ms max latency.
94352 records sent, 18862.9 records/sec (17.99 MB/sec), 1725.4 ms avg latency, 10646.0 ms max latency.
117296 records sent, 23459.2 records/sec (22.37 MB/sec), 1621.4 ms avg latency, 10647.0 ms max latency.
114272 records sent, 22650.5 records/sec (21.60 MB/sec), 1385.2 ms avg latency, 8420.0 ms max latency.
93040 records sent, 18567.2 records/sec (17.71 MB/sec), 1565.0 ms avg latency, 8961.0 ms max latency.
92672 records sent, 18534.4 records/sec (17.68 MB/sec), 1865.9 ms avg latency, 10275.0 ms max latency.
101504 records sent, 20300.8 records/sec (19.36 MB/sec), 1614.0 ms avg latency, 10515.0 ms max latency.
118240 records sent, 23596.1 records/sec (22.50 MB/sec), 1460.1 ms avg latency, 10263.0 ms max latency.
122416 records sent, 24202.5 records/sec (23.08 MB/sec), 1393.9 ms avg latency, 9029.0 ms max latency.
90160 records sent, 17999.6 records/sec (17.17 MB/sec), 1638.7 ms avg latency, 9366.0 ms max latency.
114032 records sent, 22670.4 records/sec (21.62 MB/sec), 1752.8 ms avg latency, 9423.0 ms max latency.
119392 records sent, 23873.6 records/sec (22.77 MB/sec), 1423.7 ms avg latency, 8639.0 ms max latency.
91760 records sent, 18315.4 records/sec (17.47 MB/sec), 1880.1 ms avg latency, 8030.0 ms max latency.
124352 records sent, 24796.0 records/sec (23.65 MB/sec), 1366.3 ms avg latency, 7421.0 ms max latency.
108064 records sent, 21591.2 records/sec (20.59 MB/sec), 1455.6 ms avg latency, 4797.0 ms max latency.
111408 records sent, 22117.9 records/sec (21.09 MB/sec), 1546.9 ms avg latency, 5233.0 ms max latency.
115040 records sent, 22994.2 records/sec (21.93 MB/sec), 1373.8 ms avg latency, 5023.0 ms max latency.
94912 records sent, 18687.1 records/sec (17.82 MB/sec), 1724.7 ms avg latency, 5880.0 ms max latency.
110752 records sent, 22150.4 records/sec (21.12 MB/sec), 1502.8 ms avg latency, 5743.0 ms max latency.
119536 records sent, 23907.2 records/sec (22.80 MB/sec), 1388.2 ms avg latency, 5535.0 ms max latency.
100480 records sent, 20096.0 records/sec (19.17 MB/sec), 1583.9 ms avg latency, 5468.0 ms max latency.
111024 records sent, 22173.8 records/sec (21.15 MB/sec), 1524.1 ms avg latency, 5832.0 ms max latency.
123216 records sent, 24501.1 records/sec (23.37 MB/sec), 1407.5 ms avg latency, 5091.0 ms max latency.
112224 records sent, 22306.5 records/sec (21.27 MB/sec), 1399.1 ms avg latency, 5481.0 ms max latency.
119248 records sent, 23811.5 records/sec (22.71 MB/sec), 1333.7 ms avg latency, 5546.0 ms max latency.
115294 records sent, 22957.8 records/sec (21.89 MB/sec), 1390.4 ms avg latency, 6321.0 ms max latency.
107424 records sent, 21484.8 records/sec (20.49 MB/sec), 1482.4 ms avg latency, 7701.0 ms max latency.
114211 records sent, 22773.9 records/sec (21.72 MB/sec), 1406.6 ms avg latency, 7905.0 ms max latency.
120640 records sent, 24108.7 records/sec (22.99 MB/sec), 1405.6 ms avg latency, 7074.0 ms max latency.
109298 records sent, 21699.0 records/sec (20.69 MB/sec), 1435.4 ms avg latency, 8563.0 ms max latency.
126096 records sent, 25194.0 records/sec (24.03 MB/sec), 1317.3 ms avg latency, 8534.0 ms max latency.
119040 records sent, 23755.7 records/sec (22.66 MB/sec), 1365.0 ms avg latency, 8803.0 ms max latency.
116240 records sent, 22972.3 records/sec (21.91 MB/sec), 1421.4 ms avg latency, 8905.0 ms max latency.
114608 records sent, 22834.8 records/sec (21.78 MB/sec), 1469.6 ms avg latency, 9973.0 ms max latency.
125872 records sent, 25149.3 records/sec (23.98 MB/sec), 1326.6 ms avg latency, 9994.0 ms max latency.
103456 records sent, 20682.9 records/sec (19.72 MB/sec), 1384.5 ms avg latency, 10173.0 ms max latency.
134560 records sent, 26874.4 records/sec (25.63 MB/sec), 1381.0 ms avg latency, 10586.0 ms max latency.
112183 records sent, 22436.6 records/sec (21.40 MB/sec), 1318.8 ms avg latency, 11013.0 ms max latency.
122297 records sent, 24410.6 records/sec (23.28 MB/sec), 1393.4 ms avg latency, 11742.0 ms max latency.
104544 records sent, 20896.3 records/sec (19.93 MB/sec), 1501.7 ms avg latency, 12997.0 ms max latency.
124649 records sent, 24919.8 records/sec (23.77 MB/sec), 1435.0 ms avg latency, 13187.0 ms max latency.
118048 records sent, 23553.1 records/sec (22.46 MB/sec), 1353.7 ms avg latency, 12872.0 ms max latency.
122208 records sent, 24397.7 records/sec (23.27 MB/sec), 1577.6 ms avg latency, 12419.0 ms max latency.
126560 records sent, 25116.1 records/sec (23.95 MB/sec), 1283.6 ms avg latency, 10850.0 ms max latency.
116288 records sent, 23197.3 records/sec (22.12 MB/sec), 1398.8 ms avg latency, 10785.0 ms max latency.
99776 records sent, 19955.2 records/sec (19.03 MB/sec), 1439.6 ms avg latency, 11615.0 ms max latency.
124352 records sent, 24835.6 records/sec (23.69 MB/sec), 1473.9 ms avg latency, 12593.0 ms max latency.
126176 records sent, 25205.0 records/sec (24.04 MB/sec), 1290.3 ms avg latency, 12309.0 ms max latency.
108880 records sent, 21736.9 records/sec (20.73 MB/sec), 1485.5 ms avg latency, 11440.0 ms max latency.
132208 records sent, 26436.3 records/sec (25.21 MB/sec), 1265.1 ms avg latency, 11344.0 ms max latency.
113552 records sent, 22628.9 records/sec (21.58 MB/sec), 1337.5 ms avg latency, 10473.0 ms max latency.
108656 records sent, 21597.3 records/sec (20.60 MB/sec), 1413.5 ms avg latency, 10584.0 ms max latency.
98144 records sent, 19535.0 records/sec (18.63 MB/sec), 1598.2 ms avg latency, 12020.0 ms max latency.
131422 records sent, 26284.4 records/sec (25.07 MB/sec), 1397.7 ms avg latency, 11888.0 ms max latency.
127346 records sent, 25459.0 records/sec (24.28 MB/sec), 1250.3 ms avg latency, 10765.0 ms max latency.
123839 records sent, 24713.4 records/sec (23.57 MB/sec), 1342.6 ms avg latency, 10112.0 ms max latency.
110320 records sent, 22037.6 records/sec (21.02 MB/sec), 1449.7 ms avg latency, 11633.0 ms max latency.
121024 records sent, 24098.8 records/sec (22.98 MB/sec), 1322.2 ms avg latency, 12308.0 ms max latency.
105055 records sent, 20902.3 records/sec (19.93 MB/sec), 1442.3 ms avg latency, 13505.0 ms max latency.
117232 records sent, 23437.0 records/sec (22.35 MB/sec), 1460.1 ms avg latency, 13593.0 ms max latency.
133536 records sent, 26696.5 records/sec (25.46 MB/sec), 1265.6 ms avg latency, 13502.0 ms max latency.
111888 records sent, 22355.2 records/sec (21.32 MB/sec), 1386.1 ms avg latency, 13096.0 ms max latency.
123968 records sent, 24340.9 records/sec (23.21 MB/sec), 1431.1 ms avg latency, 13478.0 ms max latency.
120096 records sent, 23942.6 records/sec (22.83 MB/sec), 1324.7 ms avg latency, 13235.0 ms max latency.
101296 records sent, 20090.4 records/sec (19.16 MB/sec), 1558.4 ms avg latency, 13483.0 ms max latency.
118496 records sent, 23642.5 records/sec (22.55 MB/sec), 1427.7 ms avg latency, 13162.0 ms max latency.
128576 records sent, 25592.4 records/sec (24.41 MB/sec), 1336.2 ms avg latency, 13735.0 ms max latency.
110816 records sent, 21865.8 records/sec (20.85 MB/sec), 1393.8 ms avg latency, 13679.0 ms max latency.
128704 records sent, 25740.8 records/sec (24.55 MB/sec), 1350.9 ms avg latency, 13321.0 ms max latency.
92644 records sent, 18480.8 records/sec (17.62 MB/sec), 1373.3 ms avg latency, 14487.0 ms max latency.
40454 records sent, 8018.6 records/sec (7.65 MB/sec), 2358.8 ms avg latency, 18063.0 ms max latency.
112096 records sent, 22414.7 records/sec (21.38 MB/sec), 2225.3 ms avg latency, 18836.0 ms max latency.
121792 records sent, 24338.9 records/sec (23.21 MB/sec), 1491.6 ms avg latency, 17633.0 ms max latency.
110246 records sent, 22040.4 records/sec (21.02 MB/sec), 1440.0 ms avg latency, 16697.0 ms max latency.
117120 records sent, 23405.3 records/sec (22.32 MB/sec), 1423.5 ms avg latency, 12057.0 ms max latency.
114048 records sent, 22809.6 records/sec (21.75 MB/sec), 1416.0 ms avg latency, 12103.0 ms max latency.
114576 records sent, 22915.2 records/sec (21.85 MB/sec), 1444.0 ms avg latency, 12821.0 ms max latency.
113376 records sent, 22625.4 records/sec (21.58 MB/sec), 1434.1 ms avg latency, 12943.0 ms max latency.
126432 records sent, 25286.4 records/sec (24.11 MB/sec), 1369.2 ms avg latency, 12938.0 ms max latency.
10000000 records sent, 22237.986484 records/sec (21.21 MB/sec), 1465.52 ms avg latency, 18836.00 ms max latency, 568 ms 50th, 5554 ms 95th, 9722 ms 99th, 13339 ms 99.9th.

real    7m33.026s
user    0m46.458s
sys     0m39.381s



bash-4.4# time kafka-producer-perf-test.sh --topic testes-de-performance --num-records 10000000 --throughput -1 --record-size 1000 --producer.config opt/kafka/config/producer.properties
67931 records sent, 13518.6 records/sec (12.89 MB/sec), 1308.1 ms avg latency, 2802.0 ms max latency.
101552 records sent, 20310.4 records/sec (19.37 MB/sec), 1521.5 ms avg latency, 4258.0 ms max latency.
103408 records sent, 20529.7 records/sec (19.58 MB/sec), 1277.5 ms avg latency, 6302.0 ms max latency.
93632 records sent, 18677.8 records/sec (17.81 MB/sec), 1841.2 ms avg latency, 7295.0 ms max latency.
110176 records sent, 21654.1 records/sec (20.65 MB/sec), 1477.4 ms avg latency, 7085.0 ms max latency.
104064 records sent, 20738.1 records/sec (19.78 MB/sec), 1626.6 ms avg latency, 7761.0 ms max latency.
109920 records sent, 21931.4 records/sec (20.92 MB/sec), 1521.4 ms avg latency, 8156.0 ms max latency.
116608 records sent, 23081.6 records/sec (22.01 MB/sec), 1398.0 ms avg latency, 8489.0 ms max latency.
120592 records sent, 23955.5 records/sec (22.85 MB/sec), 1402.4 ms avg latency, 8048.0 ms max latency.
95472 records sent, 18957.9 records/sec (18.08 MB/sec), 1576.6 ms avg latency, 7529.0 ms max latency.
106910 records sent, 21369.2 records/sec (20.38 MB/sec), 1665.2 ms avg latency, 8030.0 ms max latency.
93264 records sent, 18619.3 records/sec (17.76 MB/sec), 1574.4 ms avg latency, 8184.0 ms max latency.
104544 records sent, 20677.2 records/sec (19.72 MB/sec), 1738.5 ms avg latency, 9058.0 ms max latency.
125168 records sent, 25018.6 records/sec (23.86 MB/sec), 1330.8 ms avg latency, 8371.0 ms max latency.
107648 records sent, 21516.7 records/sec (20.52 MB/sec), 1435.5 ms avg latency, 8870.0 ms max latency.
118912 records sent, 23551.6 records/sec (22.46 MB/sec), 1480.0 ms avg latency, 9142.0 ms max latency.
116816 records sent, 23344.5 records/sec (22.26 MB/sec), 1364.9 ms avg latency, 8285.0 ms max latency.
108882 records sent, 21607.9 records/sec (20.61 MB/sec), 1376.6 ms avg latency, 8026.0 ms max latency.
125328 records sent, 25040.6 records/sec (23.88 MB/sec), 1523.2 ms avg latency, 8765.0 ms max latency.
128064 records sent, 25485.4 records/sec (24.30 MB/sec), 1248.4 ms avg latency, 7863.0 ms max latency.
104608 records sent, 20850.7 records/sec (19.88 MB/sec), 1437.5 ms avg latency, 8663.0 ms max latency.
131568 records sent, 26047.9 records/sec (24.84 MB/sec), 1398.1 ms avg latency, 8889.0 ms max latency.
115664 records sent, 23109.7 records/sec (22.04 MB/sec), 1334.5 ms avg latency, 8247.0 ms max latency.
107116 records sent, 21350.6 records/sec (20.36 MB/sec), 1458.1 ms avg latency, 9161.0 ms max latency.
126336 records sent, 25257.1 records/sec (24.09 MB/sec), 1361.3 ms avg latency, 9325.0 ms max latency.
125056 records sent, 24956.3 records/sec (23.80 MB/sec), 1302.5 ms avg latency, 8976.0 ms max latency.
107728 records sent, 21519.8 records/sec (20.52 MB/sec), 1406.1 ms avg latency, 10483.0 ms max latency.
129481 records sent, 25885.8 records/sec (24.69 MB/sec), 1366.8 ms avg latency, 10652.0 ms max latency.
95904 records sent, 19104.4 records/sec (18.22 MB/sec), 1544.8 ms avg latency, 10225.0 ms max latency.
125168 records sent, 24775.9 records/sec (23.63 MB/sec), 1427.0 ms avg latency, 10828.0 ms max latency.
118960 records sent, 23763.5 records/sec (22.66 MB/sec), 1353.1 ms avg latency, 10371.0 ms max latency.
118384 records sent, 23676.8 records/sec (22.58 MB/sec), 1387.9 ms avg latency, 9828.0 ms max latency.
99616 records sent, 19729.8 records/sec (18.82 MB/sec), 1587.4 ms avg latency, 10366.0 ms max latency.
114768 records sent, 22939.8 records/sec (21.88 MB/sec), 1509.0 ms avg latency, 10366.0 ms max latency.
115296 records sent, 23040.8 records/sec (21.97 MB/sec), 1421.4 ms avg latency, 10079.0 ms max latency.
118448 records sent, 23553.0 records/sec (22.46 MB/sec), 1359.7 ms avg latency, 9935.0 ms max latency.
114512 records sent, 22875.0 records/sec (21.82 MB/sec), 1435.6 ms avg latency, 10348.0 ms max latency.
117144 records sent, 23316.9 records/sec (22.24 MB/sec), 1432.2 ms avg latency, 9931.0 ms max latency.
106272 records sent, 21228.9 records/sec (20.25 MB/sec), 1473.0 ms avg latency, 9749.0 ms max latency.
120176 records sent, 23987.2 records/sec (22.88 MB/sec), 1483.9 ms avg latency, 9866.0 ms max latency.
110704 records sent, 22092.2 records/sec (21.07 MB/sec), 1483.2 ms avg latency, 9728.0 ms max latency.
113236 records sent, 22409.7 records/sec (21.37 MB/sec), 1408.6 ms avg latency, 9941.0 ms max latency.
119648 records sent, 23834.3 records/sec (22.73 MB/sec), 1437.4 ms avg latency, 10578.0 ms max latency.
119248 records sent, 23797.2 records/sec (22.69 MB/sec), 1334.2 ms avg latency, 10469.0 ms max latency.
109184 records sent, 21806.3 records/sec (20.80 MB/sec), 1485.1 ms avg latency, 10296.0 ms max latency.
121680 records sent, 24142.9 records/sec (23.02 MB/sec), 1392.9 ms avg latency, 10173.0 ms max latency.
123466 records sent, 24693.2 records/sec (23.55 MB/sec), 1406.4 ms avg latency, 10463.0 ms max latency.
100880 records sent, 20035.7 records/sec (19.11 MB/sec), 1446.3 ms avg latency, 10123.0 ms max latency.
134688 records sent, 26937.6 records/sec (25.69 MB/sec), 1335.5 ms avg latency, 9810.0 ms max latency.
124688 records sent, 24877.9 records/sec (23.73 MB/sec), 1331.6 ms avg latency, 9974.0 ms max latency.
103280 records sent, 20541.0 records/sec (19.59 MB/sec), 1576.2 ms avg latency, 10098.0 ms max latency.
131088 records sent, 26207.1 records/sec (24.99 MB/sec), 1327.7 ms avg latency, 9444.0 ms max latency.
107136 records sent, 21380.2 records/sec (20.39 MB/sec), 1315.5 ms avg latency, 9345.0 ms max latency.
108592 records sent, 21640.5 records/sec (20.64 MB/sec), 1585.6 ms avg latency, 10218.0 ms max latency.
129312 records sent, 25862.4 records/sec (24.66 MB/sec), 1455.1 ms avg latency, 10594.0 ms max latency.
121367 records sent, 24273.4 records/sec (23.15 MB/sec), 1297.9 ms avg latency, 9595.0 ms max latency.
114432 records sent, 22799.8 records/sec (21.74 MB/sec), 1422.9 ms avg latency, 9819.0 ms max latency.
128160 records sent, 25591.1 records/sec (24.41 MB/sec), 1280.9 ms avg latency, 9430.0 ms max latency.
105121 records sent, 20853.2 records/sec (19.89 MB/sec), 1506.7 ms avg latency, 10565.0 ms max latency.
117808 records sent, 23397.8 records/sec (22.31 MB/sec), 1439.8 ms avg latency, 11167.0 ms max latency.
128256 records sent, 25640.9 records/sec (24.45 MB/sec), 1286.8 ms avg latency, 10601.0 ms max latency.
106000 records sent, 21174.6 records/sec (20.19 MB/sec), 1553.5 ms avg latency, 10021.0 ms max latency.
110944 records sent, 22188.8 records/sec (21.16 MB/sec), 1404.1 ms avg latency, 10462.0 ms max latency.
122039 records sent, 24398.0 records/sec (23.27 MB/sec), 1411.2 ms avg latency, 10548.0 ms max latency.
123904 records sent, 24677.2 records/sec (23.53 MB/sec), 1363.0 ms avg latency, 10362.0 ms max latency.
101184 records sent, 20104.1 records/sec (19.17 MB/sec), 1459.1 ms avg latency, 10264.0 ms max latency.
126336 records sent, 25231.9 records/sec (24.06 MB/sec), 1378.3 ms avg latency, 10396.0 ms max latency.
